id,Gender,gender,Age,Under 30,Senior Citizen,*age,age,Married,married,Dependents,Number of Dependents,*num_depnd,num_dep,City,Lat Long,Latitude,Longitude,location,Population,,Satisfaction Score,*score,score,Referred a Friend,Number of Referrals,*num_ref,num_ref,Tenure in Months,,,Offer,,,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Churn Category,is_test,is_train,is_train_and_na_churn
7750-EYXWZ,Female,,80,No,Yes,80,80,Yes,,No,0,0,,NA,"33.828289, -117.201666",NA,-117.201666,,26357,,1,,,Yes,2,2,2,NA,,,NA,,,Yes,NA,No,Yes,Cable,25,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,NA,1929.35,0,NA,189.54,2118.89,Attitude,NA,TRUE,0
3146-MSEGF,Female,,68,No,NA,68,68,No,,No,NA,0,,NA,NA,NA,NA,,NA,,NA,,,No,0,0,0,1,,,None,,,Yes,45.81,Yes,Yes,Fiber Optic,21,NA,NA,No,No,Yes,No,No,NA,Month-to-Month,Yes,Bank Withdrawal,85.7,85.7,0,0,45.81,131.51,Competitor,NA,TRUE,0
7929-DMBCV,Male,,75,No,NA,75,75,NA,,No,0,0,,Summerland,NA,34.420998,-119.60137,,NA,,2,,,Yes,3,3,3,49,,,Offer B,,,Yes,NA,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,No,Credit Card,90.05,4547.25,0,0,NA,NA,Competitor,NA,TRUE,0
3336-JORSO,Male,,77,No,NA,77,77,Yes,,No,0,0,,Santa Barbara,"34.419203, -119.710008",34.419203,-119.710008,,31727,,2,,,Yes,1,1,1,43,,,Offer B,,,Yes,14.52,Yes,Yes,Fiber Optic,NA,No,NA,Yes,Yes,NA,Yes,No,NA,Month-to-Month,Yes,Bank Withdrawal,110.75,4687.9,0,0,624.36,5312.26,NA,TRUE,NA,0
3580-REOAC,Male,,80,No,Yes,80,80,Yes,,No,0,0,,Alpaugh,"35.869626, -119.498771",35.869626,-119.498771,,1054,,1,,,No,0,0,0,56,,,Offer B,,,Yes,48.8,Yes,Yes,Fiber Optic,12,Yes,No,Yes,No,Yes,Yes,NA,Yes,One Year,Yes,Bank Withdrawal,104.55,5794.65,NA,0,NA,8527.45,NA,NA,TRUE,1
5614-DNZCE,NA,,75,No,Yes,75,75,Yes,,No,NA,0,,Camp Nelson,"36.057458, -118.591951",36.057458,-118.591951,,191,,1,,,Yes,7,7,7,20,,,None,,,Yes,NA,Yes,Yes,Fiber Optic,10,No,No,No,NA,Yes,Yes,NA,Yes,Month-to-Month,Yes,Bank Withdrawal,94.55,1899.65,0,0,NA,2005.85,Competitor,NA,TRUE,0
4334-HOWRP,Female,,74,No,Yes,74,74,No,,No,0,0,,Fellows,"35.215731, -119.57013",35.215731,-119.57013,,626,,NA,,,No,0,0,0,8,,,None,,,Yes,27.95,No,No,None,0,No,No,NA,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.65,NA,0,0,NA,387.9,NA,TRUE,NA,0
2550-AEVRU,Male,,76,No,Yes,76,76,No,,No,0,0,,Temecula,"33.507255, -117.029473",33.507255,-117.029473,,46171,,NA,,,NA,NA,0,0,NA,,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Competitor,NA,TRUE,0
4906-ZHGPK,Male,,69,No,Yes,69,69,NA,,No,0,0,,NA,"32.961064, -117.134917",32.961064,-117.134917,,47224,,2,,,No,0,0,0,NA,,,None,,,NA,43.99,No,Yes,DSL,27,Yes,No,NA,No,NA,No,No,Yes,NA,Yes,Bank Withdrawal,49.25,91.1,0,0,87.98,179.08,NA,NA,TRUE,1
7207-RMRDB,Male,,72,No,Yes,72,72,Yes,,No,0,0,,San Diego,NA,NA,-117.134917,,47224,,3,,,Yes,1,1,1,33,,,None,,,NA,27.78,Yes,Yes,NA,8,No,No,No,No,NA,NA,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.5,NA,0,0,NA,4022.29,Other,NA,TRUE,0
1591-XWLGB,Female,,69,No,Yes,69,69,No,,No,0,0,,San Diego,NA,32.961064,NA,,47224,,1,,,No,0,0,0,30,,,NA,,,Yes,45.88,Yes,NA,Fiber Optic,19,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,91.7,2758.15,NA,0,1376.4,4134.55,NA,TRUE,NA,0
2424-WVHPL,Male,,NA,No,NA,NA,NA,No,,NA,NA,0,,NA,"32.961064, -117.134917",32.961064,NA,,47224,,3,,,No,0,0,0,20,,,None,,,Yes,44.44,Yes,NA,Fiber Optic,13,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,98.55,1842.8,0,120,NA,2851.6,Competitor,NA,TRUE,0
4342-HFXWS,Female,,65,NA,Yes,65,65,No,,No,0,0,,Biola,"36.798882, -120.019511",36.798882,-120.019511,,807,,1,,,No,NA,0,0,NA,,,None,,,Yes,2.37,Yes,Yes,NA,20,Yes,Yes,NA,No,Yes,Yes,NA,Yes,One Year,Yes,Bank Withdrawal,110,4874.8,0,0,109.02,4983.82,Competitor,NA,TRUE,0
1866-NXPSP,Male,,74,No,Yes,74,74,Yes,,No,0,0,,Selma,"36.545322, -119.642281",36.545322,-119.642281,,26213,,NA,,,NA,1,1,1,7,,,None,,,Yes,21.91,Yes,Yes,Cable,11,No,NA,No,NA,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.6,644.35,NA,NA,153.37,797.72,Competitor,NA,TRUE,0
2135-DQWAQ,Female,,65,No,Yes,65,65,No,,No,NA,0,,Squaw Valley,"36.719141, -119.202677",36.719141,-119.202677,,3146,,3,,,No,0,0,0,4,,,None,,,Yes,36.93,No,Yes,Fiber Optic,NA,No,NA,No,No,Yes,No,No,Yes,Month-to-Month,Yes,NA,78.85,292.8,0,0,147.72,440.52,Other,NA,TRUE,0
8207-VVMYB,Female,,66,No,NA,66,66,No,,No,0,0,,Fresno,"36.654614, -119.903674",36.654614,-119.903674,,35790,,3,,,No,NA,0,0,55,,,NA,,,Yes,37.38,Yes,Yes,NA,7,NA,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,100,5509.3,0,100,NA,7665.2,NA,TRUE,NA,0
7469-LKBCI,Male,,NA,No,Yes,72,72,Yes,,No,0,0,,Jolon,"35.930782, -121.189757",35.930782,-121.189757,,254,,1,,,Yes,1,1,1,20,,,None,,,Yes,5.37,No,Yes,Fiber Optic,24,NA,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.65,1463.5,0,0,107.4,1570.9,NA,TRUE,NA,0
5016-ETTFF,Male,,65,No,Yes,65,65,No,,No,NA,0,,San Francisco,"37.7795, -122.419233",37.7795,-122.419233,,28998,,NA,,,No,0,0,0,9,,,None,,,Yes,48.71,Yes,Yes,NA,NA,No,No,Yes,No,Yes,Yes,Yes,NA,Month-to-Month,Yes,Bank Withdrawal,100.5,918.6,0,0,438.39,1356.99,NA,NA,TRUE,1
9115-YQHGA,Male,,69,No,Yes,69,69,No,,No,0,0,,NA,NA,NA,NA,,NA,,NA,,,No,0,0,0,10,,,None,,,Yes,5.46,No,Yes,Fiber Optic,24,No,Yes,No,NA,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,72.85,688.65,NA,30,54.6,773.25,Competitor,NA,TRUE,0
5792-JALQC,Male,,75,No,Yes,75,75,Yes,,NA,0,0,,NA,NA,NA,NA,,NA,,2,,,No,0,0,0,1,,,None,,,Yes,36.92,Yes,Yes,Fiber Optic,6,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,NA,73.55,0,NA,36.92,110.47,Price,NA,TRUE,0
8800-JOOCF,Female,,NA,NA,NA,NA,NA,No,,No,0,0,,Palo Alto,"37.386978, -122.177746",37.386978,-122.177746,,1723,,1,,,No,0,0,0,4,,,None,,,Yes,6.68,Yes,Yes,Cable,17,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.6,360.1,0,0,26.72,386.82,NA,NA,TRUE,1
8883-ANODQ,Male,,71,No,Yes,71,71,No,,No,0,0,,Birds Landing,"38.140719, -121.838298",38.140719,-121.838298,,138,,NA,,,No,0,0,0,35,,,None,,,Yes,20.83,Yes,Yes,Fiber Optic,19,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,NA,99.05,3395.8,0,NA,NA,NA,Other,NA,TRUE,0
1023-BQXZE,Male,,80,No,Yes,80,80,No,,No,0,0,,Byron,"37.83323, -121.601461",37.83323,-121.601461,,10153,,2,,,No,0,0,0,2,,,Offer E,,,Yes,26.62,No,Yes,DSL,11,No,No,No,No,NA,NA,No,Yes,NA,No,Credit Card,44.95,85.15,0,0,53.24,138.39,Other,NA,TRUE,0
3722-WPXTK,Male,,NA,No,NA,NA,NA,No,,No,0,0,,NA,NA,NA,NA,,NA,,NA,,,No,0,0,0,8,,,None,,,NA,NA,No,Yes,Fiber Optic,NA,Yes,NA,No,Yes,Yes,NA,Yes,Yes,NA,No,Credit Card,100.3,832.35,0,0,92.56,924.91,NA,TRUE,NA,0
7596-IIWYC,Male,,73,No,Yes,73,73,Yes,,No,0,0,,NA,"37.571748, -121.659562",37.571748,-121.659562,,75929,,1,,,Yes,2,2,2,44,,,None,,,NA,NA,NA,NA,Cable,28,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,30.35,1359.7,0,0,0,1359.7,Competitor,NA,TRUE,0
3115-CZMZD,Male,,77,No,Yes,77,77,NA,,NA,NA,0,,Napa,"38.489789, -122.27011",38.489789,NA,,63947,,NA,,,Yes,NA,1,1,62,,,None,,,Yes,7.11,Yes,Yes,Fiber Optic,16,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,103.75,6383.35,0,0,440.82,6824.17,NA,TRUE,NA,0
5590-YRFJT,Female,,76,No,NA,76,76,Yes,,No,0,0,,NA,NA,NA,NA,,NA,,NA,,,NA,1,1,1,33,,,None,,,Yes,33.19,Yes,Yes,Cable,15,No,Yes,No,No,No,No,NA,Yes,NA,Yes,Bank Withdrawal,80.6,2656.5,0,0,1095.27,3751.77,NA,NA,TRUE,1
4078-SAYYN,NA,,65,No,Yes,65,65,NA,,No,0,0,,San Ramon,NA,37.766556,-121.976784,,44078,,2,,,No,NA,0,0,4,,,NA,,,Yes,49.5,Yes,NA,Fiber Optic,23,No,NA,No,NA,NA,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,NA,424.45,0,NA,198,622.45,Competitor,NA,TRUE,0
2884-GBPFB,Male,,75,No,Yes,75,75,NA,,No,NA,0,,Pleasanton,"37.685052, -121.912061",37.685052,-121.912061,,28568,,1,,,Yes,1,1,1,27,,,None,,,Yes,10.6,Yes,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.5,1893.95,0,0,286.2,2180.15,Competitor,NA,TRUE,0
0475-RIJEP,Male,,75,No,Yes,75,75,No,,No,0,0,,Berkeley,"37.871416, -122.246597",NA,NA,,21205,,1,,,No,0,0,0,8,,,Offer E,,,Yes,40.45,Yes,Yes,Fiber Optic,29,No,No,Yes,No,Yes,Yes,No,NA,Month-to-Month,Yes,Bank Withdrawal,100.6,819.4,0,NA,NA,1143,NA,TRUE,NA,0
4355-CVPVS,Female,,68,No,Yes,68,68,Yes,,NA,0,0,,Berkeley,"37.897753, -122.279391",37.897753,NA,,11889,,1,,,NA,NA,0,0,NA,,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Attitude,NA,TRUE,0
8883-GRDWQ,Female,,71,No,Yes,71,71,No,,No,0,0,,Berkeley,"37.872902, -122.303708",37.872902,-122.303708,,8157,,1,,,No,0,0,0,8,,,Offer E,,,Yes,42.93,No,Yes,Fiber Optic,9,No,No,Yes,No,Yes,Yes,No,NA,Month-to-Month,Yes,Bank Withdrawal,92.1,729.95,0,0,343.44,NA,Competitor,NA,TRUE,0
1657-DYMBM,Male,,77,No,Yes,77,77,No,,No,0,0,,Forest Knolls,"38.010092, -122.689442",38.010092,-122.689442,,1025,,1,,,NA,0,0,0,12,,,None,,,No,0,No,Yes,DSL,10,No,No,Yes,Yes,No,Yes,No,NA,Month-to-Month,Yes,Bank Withdrawal,43.65,NA,0,0,0,526.95,Competitor,NA,TRUE,0
1618-CFHME,NA,,68,No,Yes,68,68,No,,No,0,0,,Gilroy,"37.03889, -121.528955",37.03889,-121.528955,,49968,,NA,,,No,0,0,0,NA,,,None,,,Yes,3.96,No,Yes,Fiber Optic,27,No,No,NA,No,Yes,Yes,No,NA,Month-to-Month,No,Bank Withdrawal,89.7,1047.7,0,0,NA,1091.26,Attitude,NA,TRUE,0
5130-IEKQT,Male,,74,No,Yes,74,74,Yes,,No,0,0,,NA,NA,NA,NA,,NA,,3,,,Yes,1,1,1,17,,,NA,,,Yes,NA,Yes,Yes,Cable,16,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,100.45,1622.45,0,0,479.06,2101.51,Competitor,NA,TRUE,0
0848-ZGQIJ,Male,,65,No,Yes,65,65,Yes,,No,0,0,,San Jose,"37.316146, -121.936285",37.316146,-121.936285,,32804,,3,,,NA,NA,0,0,NA,,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,0
6674-KVJHG,Female,,73,No,Yes,73,73,Yes,,NA,0,0,,San Jose,"37.28682, -121.723877",37.28682,-121.723877,,15798,,NA,,,NA,NA,0,0,NA,,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Competitor,NA,TRUE,0
1090-ESELR,Female,,74,No,Yes,74,74,Yes,,No,0,0,,Glencoe,"38.358464, -120.579304",NA,-120.579304,,21,,2,,,Yes,1,1,1,3,,,Offer E,,,NA,3.29,NA,Yes,Fiber Optic,9,No,No,No,No,Yes,No,No,Yes,Month-to-Month,NA,Bank Withdrawal,80.4,224.05,0,0,9.87,NA,Attitude,NA,TRUE,0
5286-YHCVC,Male,,NA,No,Yes,72,72,No,,No,0,0,,Columbia,"38.085839, -120.37855",38.085839,-120.37855,,2144,,1,,,No,0,0,0,21,,,None,,,Yes,34.62,No,Yes,DSL,14,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,60.05,1236.15,0,0,727.02,NA,Competitor,NA,TRUE,0
7839-NUIAA,Female,,76,No,Yes,76,76,No,,No,0,0,,Escondido,"33.141265, -116.967221",33.141265,-116.967221,,48690,,NA,,,No,0,0,0,16,,,None,,,Yes,38.75,Yes,Yes,Fiber Optic,16,NA,No,No,No,Yes,Yes,NA,Yes,Month-to-Month,Yes,Bank Withdrawal,96.15,1529.2,0,NA,620,2149.2,NA,NA,TRUE,1
4163-KIUHY,Female,,73,No,Yes,73,73,No,,No,0,0,,Lakewood,NA,33.840524,-118.148403,,30173,,2,,,NA,0,0,0,46,,,None,,,Yes,6.13,No,Yes,Fiber Optic,30,No,Yes,No,No,Yes,Yes,No,Yes,One Year,No,NA,NA,NA,0,0,281.98,4706.18,Competitor,NA,TRUE,0
2212-LYASK,Female,,70,No,NA,70,70,Yes,,No,0,0,,NA,"38.493888, -122.777141",38.493888,-122.777141,,476,,1,,,Yes,1,1,1,NA,,,Offer A,,,Yes,24.13,Yes,Yes,Fiber Optic,24,No,Yes,NA,No,No,Yes,No,NA,Month-to-Month,Yes,Bank Withdrawal,89.6,6127.6,0,NA,1640.84,7768.44,NA,TRUE,NA,0
9823-EALYC,Male,,75,No,Yes,75,75,Yes,,No,0,0,,Nice,"39.12334, -122.838198",39.12334,-122.838198,,2223,,NA,,,Yes,1,1,1,7,,,Offer E,,,Yes,13.63,No,Yes,Fiber Optic,27,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.5,676.7,0,NA,95.41,772.11,NA,TRUE,NA,0
