index,id,gender,age,married,num_depen,lat,long,pop,score,num_ref,mult_line,offer,phon_serv,int_serv,int_type,onl_sec,onl_back,dev_prot,premium,str_tv,str_movie,str_music,contract,paperless,payment,tenure_month,month_charge,unlimite,avg_gb,avg_long_dist,t_charge,t_refund,t_extra,t_long_dist,t_revenue,churn,is_test,is_train
23,7401-RUBNK,Female,66,Yes,0,32.85723,-117.209774,34902,1,2,Yes,Offer B,Yes,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Month-to-Month,Yes,Credit Card,55,85.45,No,27,42.82,4874.7,0,90,2355.1,7319.8,,FALSE,TRUE
24,5701-GUXDC,Male,77,No,0,,,,1,0,Yes,Offer E,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,3,81.35,Yes,14,9.22,233.7,0,0,27.66,261.36,,FALSE,TRUE
25,9609-BENEA,Female,80,No,0,33.53604,-116.119222,17018,2,0,Yes,None,Yes,No,,No,No,No,No,Yes,No,No,Two Year,Yes,Bank Withdrawal,39,,No,,,,,,,,Dissatisfaction,FALSE,TRUE
26,1723-HKXJQ,Female,77,No,0,,,,2,0,No,Offer E,No,Yes,DSL,No,Yes,No,No,Yes,No,No,Month-to-Month,No,Bank Withdrawal,5,28.45,Yes,26,0,131.05,0,0,0,131.05,Dissatisfaction,FALSE,TRUE
27,0479-HMSWA,Female,77,No,0,33.644585,-116.871544,39264,1,0,No,None,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,No,Two Year,No,Bank Withdrawal,20,94.1,,12,48.73,1782.4,0,80,974.6,2837,Competitor,FALSE,TRUE
28,0027-KWYKW,Female,72,Yes,0,33.970661,-117.255039,46214,1,4,Yes,None,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,5,74.35,Yes,22,45.76,334.8,0,0,228.8,563.6,,TRUE,FALSE
29,7750-EYXWZ,Female,80,Yes,0,33.828289,-117.201666,26357,1,2,No,None,Yes,Yes,Cable,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,15,128.6233333,Yes,25,,1929.35,0,0,189.54,2118.89,Attitude,FALSE,TRUE
30,3146-MSEGF,Female,68,No,0,,,,,0,Yes,None,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,1,85.7,,21,45.81,85.7,0,0,45.81,131.51,Competitor,FALSE,TRUE
31,7929-DMBCV,Male,75,No,0,34.420998,-119.60137,576,2,3,Yes,Offer B,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,No,Month-to-Month,No,Credit Card,49,90.05,Yes,14,,4547.25,0,0,,,Competitor,FALSE,TRUE
32,3336-JORSO,Male,77,Yes,0,34.419203,-119.710008,31727,2,1,Yes,Offer B,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,43,110.75,,,14.52,4687.9,0,0,624.36,5312.26,,TRUE,FALSE
33,3580-REOAC,Male,80,Yes,0,35.869626,-119.498771,1054,1,0,Yes,Offer B,Yes,Yes,Fiber Optic,Yes,No,Yes,No,Yes,Yes,No,One Year,Yes,Bank Withdrawal,56,104.55,Yes,12,48.8,5794.65,0,0,2732.8,8527.45,,FALSE,TRUE
34,5614-DNZCE,Female,75,Yes,0,36.057458,-118.591951,191,1,7,Yes,None,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,20,94.55,Yes,10,190.5475,1899.65,0,0,3810.95,2005.85,Competitor,FALSE,TRUE
35,4334-HOWRP,Female,74,No,0,35.215731,-119.57013,626,,0,No,None,Yes,No,None,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,8,19.65,No,0,27.95,157.2,0,0,223.6,387.9,,TRUE,FALSE
36,2550-AEVRU,Male,76,No,0,33.507255,-117.029473,46171,,0,Yes,None,Yes,Yes,,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,5,,,,,,,,,,Competitor,FALSE,TRUE
37,4906-ZHGPK,Male,69,No,0,32.961064,-117.134917,47224,2,0,No,None,Yes,Yes,DSL,Yes,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,2,49.25,Yes,27,43.99,91.1,0,0,87.98,179.08,,FALSE,TRUE
38,7207-RMRDB,Male,72,Yes,0,32.961064,-117.134917,47224,3,1,Yes,None,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,33,94.5,Yes,8,27.78,3118.5,0,0,916.74,4022.29,Other,FALSE,TRUE
39,1591-XWLGB,Female,69,No,0,32.961064,-117.134917,47224,1,0,Yes,None,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,No,Month-to-Month,No,Credit Card,30,91.7,Yes,19,45.88,2758.15,0,0,1376.4,4134.55,,TRUE,FALSE
40,2424-WVHPL,Male,47,No,0,32.961064,-117.134917,47224,3,0,Yes,None,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,20,98.55,No,13,44.44,1842.8,0,120,888.8,2851.6,Competitor,FALSE,TRUE
41,4342-HFXWS,Female,65,No,0,36.798882,-120.019511,807,1,0,Yes,None,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,No,One Year,Yes,Bank Withdrawal,46,110,Yes,20,2.37,4874.8,0,0,109.02,4983.82,Competitor,FALSE,TRUE
42,1866-NXPSP,Male,74,Yes,0,36.545322,-119.642281,26213,,1,Yes,None,Yes,Yes,Cable,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,7,95.6,Yes,11,21.91,644.35,0,0,153.37,797.72,Competitor,FALSE,TRUE
43,2135-DQWAQ,Female,65,No,0,36.719141,-119.202677,3146,3,0,No,None,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,4,78.85,Yes,,36.93,292.8,0,0,147.72,440.52,Other,FALSE,TRUE
44,8207-VVMYB,Female,66,No,0,36.654614,-119.903674,35790,3,0,Yes,None,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,55,100,No,7,37.38,5509.3,0,100,2055.9,7665.2,,TRUE,FALSE
45,7469-LKBCI,Male,72,Yes,0,35.930782,-121.189757,254,1,1,No,None,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,20,73.65,Yes,24,5.37,1463.5,0,0,107.4,1570.9,,TRUE,FALSE
46,5016-ETTFF,Male,65,No,0,37.7795,-122.419233,28998,,0,Yes,None,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,9,100.5,,,48.71,918.6,0,0,438.39,1356.99,,FALSE,TRUE
47,9115-YQHGA,Male,69,No,0,,,,,0,No,None,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,10,72.85,No,24,5.46,688.65,0,30,54.6,773.25,Competitor,FALSE,TRUE
48,5792-JALQC,Male,75,Yes,0,,,,2,0,Yes,None,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,1,73.55,Yes,6,36.92,73.55,0,0,36.92,110.47,Price,FALSE,TRUE
49,8800-JOOCF,Female,47,No,0,37.386978,-122.177746,1723,1,0,Yes,None,Yes,Yes,Cable,No,No,No,No,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,4,84.6,Yes,17,6.68,360.1,0,0,26.72,386.82,,FALSE,TRUE
50,8883-ANODQ,Male,71,No,0,38.140719,-121.838298,138,,0,Yes,None,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,35,99.05,No,19,20.83,3395.8,0,,729.05,,Other,FALSE,TRUE
51,1023-BQXZE,Male,80,No,0,37.83323,-121.601461,10153,2,0,No,Offer E,Yes,Yes,DSL,No,No,No,No,Yes,No,No,Month-to-Month,No,Credit Card,2,44.95,Yes,11,26.62,85.15,0,0,53.24,138.39,Other,FALSE,TRUE
52,3722-WPXTK,Male,47,No,0,,,,,0,No,None,Yes,Yes,Fiber Optic,Yes,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Credit Card,8,100.3,Yes,,11.57,832.35,0,0,92.56,924.91,,TRUE,FALSE
53,7596-IIWYC,Male,73,Yes,0,37.571748,-121.659562,75929,1,2,No,None,No,Yes,Cable,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,44,30.35,Yes,28,0,1359.7,0,0,0,1359.7,Competitor,FALSE,TRUE
54,3115-CZMZD,Male,77,No,0,38.489789,-122.27011,63947,,2,Yes,None,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,62,103.75,Yes,16,7.11,6383.35,0,0,440.82,6824.17,,TRUE,FALSE
55,5590-YRFJT,Female,76,Yes,0,,,,,1,Yes,None,Yes,Yes,Cable,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,33,80.6,Yes,15,33.19,2656.5,0,0,1095.27,3751.77,,FALSE,TRUE
56,4078-SAYYN,Male,65,No,0,37.766556,-121.976784,44078,2,0,Yes,None,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,4,106.1125,Yes,23,49.5,424.45,0,0,198,622.45,Competitor,FALSE,TRUE
57,2884-GBPFB,Male,75,No,0,37.685052,-121.912061,28568,1,1,Yes,None,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,27,75.5,Yes,23,10.6,1893.95,0,0,286.2,2180.15,Competitor,FALSE,TRUE
58,0475-RIJEP,Male,75,No,0,37.871416,-122.246597,21205,1,0,Yes,Offer E,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,8,100.6,,29,40.45,819.4,0,0,323.6,1143,,TRUE,FALSE
59,4355-CVPVS,Female,68,Yes,0,37.897753,-122.279391,11889,1,0,No,None,Yes,Yes,,No,No,Yes,Yes,No,Yes,Yes,Month-to-Month,Yes,Credit Card,21,,,,,,,,,,Attitude,FALSE,TRUE
60,8883-GRDWQ,Female,71,No,0,37.872902,-122.303708,8157,1,0,No,Offer E,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,8,92.1,,9,42.93,729.95,0,0,343.44,1073.39,Competitor,FALSE,TRUE
61,1657-DYMBM,Male,77,No,0,38.010092,-122.689442,1025,1,0,No,None,No,Yes,DSL,No,No,Yes,Yes,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,12,43.65,,10,0,526.95,0,0,0,526.95,Competitor,FALSE,TRUE
62,1618-CFHME,Female,68,No,0,37.03889,-121.528955,49968,,0,No,None,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,Month-to-Month,No,Bank Withdrawal,12,89.7,,27,3.96,1047.7,0,0,47.52,1091.26,Attitude,FALSE,TRUE
63,5130-IEKQT,Male,74,Yes,0,,,,3,1,Yes,None,Yes,Yes,Cable,No,No,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Credit Card,17,100.45,Yes,16,28.18,1622.45,0,0,479.06,2101.51,Competitor,FALSE,TRUE
64,0848-ZGQIJ,Male,65,Yes,0,37.316146,-121.936285,32804,3,0,No,None,Yes,No,,No,Yes,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,59,,No,,,,,,,,,TRUE,FALSE
65,6674-KVJHG,Female,73,Yes,0,37.28682,-121.723877,15798,,0,No,None,Yes,No,,No,Yes,Yes,No,No,Yes,No,Month-to-Month,Yes,Credit Card,38,,No,,,,,,,,Competitor,FALSE,TRUE
66,1090-ESELR,Female,74,Yes,0,37.449551,-122.183762,39062,2,1,No,Offer E,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,3,80.4,Yes,9,3.29,224.05,0,0,9.87,233.92,Attitude,FALSE,TRUE
67,5286-YHCVC,Male,72,No,0,38.085839,-120.37855,2144,1,0,No,None,Yes,Yes,DSL,No,No,Yes,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,21,60.05,Yes,14,34.62,1236.15,0,0,727.02,1963.17,Competitor,FALSE,TRUE
68,7839-NUIAA,Female,76,No,0,33.141265,-116.967221,48690,,0,Yes,None,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,16,96.15,Yes,16,38.75,1529.2,0,0,620,2149.2,,FALSE,TRUE
69,4163-KIUHY,Female,73,No,0,33.840524,-118.148403,30173,2,0,No,None,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,No,One Year,No,Bank Withdrawal,46,96.17826087,Yes,30,6.13,4424.2,0,0,281.98,4706.18,Competitor,FALSE,TRUE
70,2212-LYASK,Female,70,Yes,0,38.493888,-122.777141,476,1,1,Yes,Offer A,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,68,89.6,,24,24.13,6127.6,0,0,1640.84,7768.44,,TRUE,FALSE
71,9823-EALYC,Male,75,Yes,0,39.12334,-122.838198,2223,,1,No,Offer E,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,7,89.5,Yes,27,13.63,676.7,0,0,95.41,772.11,,TRUE,FALSE
72,5889-JTMUL,Male,74,Yes,0,,,,1,1,Yes,None,Yes,Yes,Cable,No,No,No,No,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,15,85.6,Yes,22,45.25,1345.55,0,0,678.75,2024.3,Competitor,FALSE,TRUE
73,2165-VOEGB,Male,76,No,0,40.825486,-124.049485,1689,3,0,Yes,None,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,Two Year,Yes,Bank Withdrawal,16,86.6,Yes,22,19.18,1281,0,0,306.88,1587.88,Dissatisfaction,FALSE,TRUE
74,2612-PHGOX,Female,75,No,0,40.665952,-124.240051,1447,2,0,No,None,Yes,Yes,,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,54,,,,,,,,,,Attitude,FALSE,TRUE
75,9227-YBAXE,Female,74,No,0,40.485849,-124.163234,3284,1,0,No,None,No,Yes,Cable,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,1,25.2,Yes,5,0,25.2,0,0,0,25.2,,TRUE,FALSE
76,7134-MJPDY,Female,73,No,0,38.544002,-121.685559,648,1,0,No,None,Yes,No,,No,Yes,No,No,Yes,No,No,Two Year,Yes,Credit Card,6,,No,,,,,,,,Competitor,FALSE,TRUE
77,7853-OETYL,Female,75,Yes,0,38.674276,-121.961866,844,1,1,Yes,None,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,34,94.25,Yes,4,2.88,3217.55,0,0,97.92,3315.47,,TRUE,FALSE
78,6242-MBHPK,Female,65,No,0,38.833554,-121.498102,901,1,0,No,None,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,4,110.7125,Yes,10,12.68,442.85,0,0,50.72,493.57,,TRUE,FALSE
79,1282-IHQAC,Female,77,No,0,,,,,0,Yes,None,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,2,93.85,Yes,18,19.27,170.85,0,0,38.54,209.39,Other,FALSE,TRUE
80,6619-RPLQZ,Male,67,No,0,39.043387,-121.409837,3600,2,0,Yes,None,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,No,Month-to-Month,Yes,Credit Card,9,84.4,Yes,18,30.8,732.5,0,0,277.2,1009.7,,FALSE,TRUE
81,5982-FPVQN,Male,78,Yes,0,38.591134,-121.161585,299,1,0,No,None,Yes,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Month-to-Month,Yes,Credit Card,5,75.55,Yes,9,42.33,349.65,0,0,211.65,561.3,,TRUE,FALSE
82,5244-IRFIH,Female,65,No,0,40.171312,-121.120605,86,,0,Yes,Offer D,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,22,94.67954545,No,8,40.18,2082.95,0,100,883.96,3066.91,Competitor,FALSE,TRUE
83,2868-SNELZ,Male,70,No,0,40.077028,-121.494168,1351,3,0,Yes,Offer D,Yes,Yes,Cable,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,15,75.65,Yes,19,46.38,1146.65,0,0,695.7,1842.35,Attitude,FALSE,TRUE
84,3841-CONLJ,Male,69,No,0,39.099204,-121.137962,17922,1,0,Yes,None,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,1,74.7,Yes,20,11.34,74.7,0,0,11.34,86.04,,TRUE,FALSE
85,7511-YMXVQ,Female,76,No,0,,,,,0,No,None,No,Yes,Cable,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,1,25.8,No,26,0,25.8,0,20,0,45.8,,TRUE,FALSE
86,2229-VWQJH,Male,71,No,0,,,,1,0,Yes,Offer D,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Month-to-Month,No,Bank Withdrawal,10,95.35,Yes,14,41.37,898.35,0,0,413.7,1312.05,,FALSE,TRUE
87,7801-KICAO,Female,76,No,0,33.362575,-117.299644,42239,3,0,No,None,Yes,Yes,DSL,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,3,45,No,6,30.14,127.1,0,10,90.42,227.52,Competitor,FALSE,TRUE
88,0196-JTUQI,Male,77,Yes,0,40.704293,-122.803899,1845,2,2,No,Offer D,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,12,80.45,Yes,19,6.97,950.2,0,0,83.64,1033.84,Competitor,FALSE,TRUE
89,7124-UGSUR,Female,74,No,0,40.582399,-122.195512,4931,2,0,No,None,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,2,74.7,Yes,11,6.51,165.4,0,0,13.02,178.42,,TRUE,FALSE
90,7605-BDWDC,Male,77,No,0,40.923558,-122.059933,459,1,0,Yes,None,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,1,88.8,No,20,49.6,88.8,0,10,49.6,148.4,,TRUE,FALSE
91,0014-BMAQU,Male,76,Yes,0,32.957195,-117.202542,28201,,2,No,Offer D,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,No,Month-to-Month,Yes,Mailed Check,13,89.05,Yes,5,1.47,1169.35,0,0,19.11,1188.46,Competitor,FALSE,TRUE
92,7248-VZQLC,Female,77,No,0,32.957195,-117.202542,28201,2,0,No,Offer D,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,23,94.75,Yes,,31.17,2293.6,0,0,716.91,3010.51,Competitor,FALSE,TRUE
93,4316-XCSLJ,Female,80,Yes,0,32.957195,-117.202542,28201,1,1,Yes,None,Yes,Yes,Cable,No,No,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,17,85.35,Yes,6,36.82,1463.45,0,0,625.94,2089.39,Competitor,FALSE,TRUE
94,4713-LZDRV,Male,68,No,0,,,,1,0,No,None,Yes,Yes,DSL,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,17,45.05,,2,40.93,770.6,0,0,695.81,1466.41,,FALSE,TRUE
95,4781-ZXYGU,Male,65,No,0,32.957195,-117.202542,28201,3,0,No,None,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,1,79.1,Yes,16,121.4,79.1,0,0,121.4,121.4,Competitor,FALSE,TRUE
96,7572-KPVKK,Male,68,No,0,32.898613,-117.202937,4258,2,0,No,Offer E,Yes,Yes,Cable,No,No,Yes,No,No,No,No,Month-to-Month,Yes,Mailed Check,1,50.15,Yes,12,39.78,50.15,0,0,39.78,89.93,Competitor,FALSE,TRUE
97,7398-LXGYX,Female,72,No,0,33.86532,-118.396336,18693,1,0,No,Offer E,Yes,Yes,DSL,No,Yes,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,1,69.6,Yes,15,34.51,69.6,0,0,34.51,104.11,Competitor,FALSE,TRUE
98,0799-DDIHE,Female,66,No,0,33.845706,-118.012204,44442,,0,Yes,None,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,41,113.2,Yes,,27.95,4689.5,0,0,1145.95,5835.45,,FALSE,TRUE
99,9128-CPXKI,Male,68,No,0,33.874224,-117.993368,33528,1,0,No,None,Yes,Yes,,No,No,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,70,,,,,,,,,,,FALSE,TRUE
100,7594-LZNWR,Male,76,Yes,0,34.110444,-118.156957,23984,,1,Yes,None,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,32,85.3,Yes,10,49.6,2661.1,0,0,1587.2,4248.3,Competitor,FALSE,TRUE
