gender,age,married,num_depen,lat,long,pop,score,num_ref,mult_line,offer,phon_serv,int_serv,int_type,onl_sec,onl_back,dev_prot,premium,str_tv,str_movie,str_music,contract,paperless,payment,tenure_month,month_charge,unlimite,avg_gb,avg_long_dist,t_charge,t_refund,t_extra,t_long_dist,t_revenue,churn
Female,68,No,0,34.420998,-119.60137,576,2,0,Yes,None,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,1,85.7,Yes,21,45.81,85.7,0,0,45.81,131.51,1
Male,75,No,0,34.420998,-119.60137,576,2,3,Yes,Offer B,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,No,Month-to-Month,No,Credit Card,49,90.05,Yes,14,14.52,4547.25,0,0,624.36,5312.26,1
Female,75,Yes,0,36.057458,-118.591951,191,1,7,Yes,None,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,20,94.55,Yes,10,190.5475,1899.65,0,0,3810.95,2005.85,1
Male,76,No,0,33.507255,-117.029473,46171,2,0,Yes,None,Yes,Yes,DSL,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,5,49.25,Yes,27,43.99,91.1,0,0,87.98,179.08,1
Male,72,Yes,0,32.961064,-117.134917,47224,3,1,Yes,None,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,33,94.5,Yes,8,27.78,3118.5,0,0,916.74,4022.29,5
Male,47,No,0,32.961064,-117.134917,47224,3,0,Yes,None,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,20,98.55,No,13,44.44,1842.8,0,120,888.8,2851.6,1
Female,65,No,0,36.798882,-120.019511,807,1,0,Yes,None,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,No,One Year,Yes,Bank Withdrawal,46,110,Yes,20,2.37,4874.8,0,0,109.02,4983.82,1
Male,74,Yes,0,36.545322,-119.642281,26213,3,1,Yes,None,Yes,Yes,Cable,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,7,95.6,Yes,11,21.91,644.35,0,0,153.37,797.72,1
Female,65,No,0,36.719141,-119.202677,3146,3,0,No,None,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,4,78.85,Yes,7,36.93,292.8,0,0,147.72,440.52,5
Male,69,No,0,37.386978,-122.177746,1723,2,0,No,None,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,10,72.85,No,24,5.46,688.65,0,30,54.6,773.25,1
Male,75,Yes,0,37.386978,-122.177746,1723,2,0,Yes,None,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,1,73.55,Yes,6,36.92,73.55,0,0,36.92,110.47,4
Male,71,No,0,38.140719,-121.838298,138,2,0,Yes,None,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,35,99.05,No,19,20.83,3395.8,0,0,729.05,138.39,5
Male,80,No,0,37.83323,-121.601461,10153,2,0,No,Offer E,Yes,Yes,DSL,No,No,No,No,Yes,No,No,Month-to-Month,No,Credit Card,2,44.95,Yes,11,26.62,85.15,0,0,53.24,138.39,5
Male,73,Yes,0,37.571748,-121.659562,75929,1,2,No,None,No,Yes,Cable,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,44,30.35,Yes,28,0,1359.7,0,0,0,1359.7,1
Male,65,No,0,37.766556,-121.976784,44078,2,0,Yes,None,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,4,106.1125,Yes,23,49.5,424.45,0,0,198,622.45,1
Male,75,No,0,37.685052,-121.912061,28568,1,1,Yes,None,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,27,75.5,Yes,23,10.6,1893.95,0,0,286.2,2180.15,1
Female,68,Yes,0,37.897753,-122.279391,11889,1,0,No,None,Yes,Yes,Fiber Optic,No,No,Yes,Yes,No,Yes,Yes,Month-to-Month,Yes,Credit Card,21,92.1,Yes,9,42.93,729.95,0,0,343.44,1073.39,3
Female,71,No,0,37.872902,-122.303708,8157,1,0,No,Offer E,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,8,92.1,Yes,9,42.93,729.95,0,0,343.44,1073.39,1
Male,77,No,0,38.010092,-122.689442,1025,1,0,No,None,No,Yes,DSL,No,No,Yes,Yes,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,12,43.65,Yes,10,0,526.95,0,0,0,526.95,1
Female,68,No,0,37.03889,-121.528955,49968,3,0,No,None,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,Month-to-Month,No,Bank Withdrawal,12,89.7,Yes,27,3.96,1047.7,0,0,47.52,1091.26,3
Male,74,Yes,0,37.316146,-121.936285,32804,3,1,Yes,None,Yes,Yes,Cable,No,No,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Credit Card,17,100.45,Yes,16,28.18,1622.45,0,0,479.06,2101.51,1
Female,73,Yes,0,37.28682,-121.723877,15798,2,0,No,None,Yes,No,Fiber Optic,No,Yes,Yes,No,No,Yes,No,Month-to-Month,Yes,Credit Card,38,80.4,No,9,3.29,224.05,0,0,9.87,233.92,1
Female,74,Yes,0,37.449551,-122.183762,39062,2,1,No,Offer E,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,3,80.4,Yes,9,3.29,224.05,0,0,9.87,233.92,3
Male,72,No,0,38.085839,-120.37855,2144,1,0,No,None,Yes,Yes,DSL,No,No,Yes,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,21,60.05,Yes,14,34.62,1236.15,0,0,727.02,1963.17,1
Female,73,No,0,33.840524,-118.148403,30173,2,0,No,None,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,No,One Year,No,Bank Withdrawal,46,96.17826087,Yes,30,6.13,4424.2,0,0,281.98,4706.18,1
Male,74,Yes,0,40.825486,-124.049485,1689,1,1,Yes,None,Yes,Yes,Cable,No,No,No,No,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,15,85.6,Yes,22,45.25,1345.55,0,0,678.75,2024.3,1
Male,76,No,0,40.825486,-124.049485,1689,3,0,Yes,None,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,Two Year,Yes,Bank Withdrawal,16,86.6,Yes,22,19.18,1281,0,0,306.88,1587.88,2
Female,75,No,0,40.665952,-124.240051,1447,2,0,No,None,Yes,Yes,Cable,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,54,25.2,Yes,5,0,25.2,0,0,0,25.2,3
Female,73,No,0,38.544002,-121.685559,648,1,0,No,None,Yes,No,Fiber Optic,No,Yes,No,No,Yes,No,No,Two Year,Yes,Credit Card,6,94.25,No,4,2.88,3217.55,0,0,97.92,3315.47,1
Female,77,No,0,39.043387,-121.409837,3600,2,0,Yes,None,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,2,93.85,Yes,18,19.27,170.85,0,0,38.54,209.39,5
Female,65,No,0,40.171312,-121.120605,86,3,0,Yes,Offer D,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,22,94.67954545,No,8,40.18,2082.95,0,100,883.96,3066.91,1
Male,70,No,0,40.077028,-121.494168,1351,3,0,Yes,Offer D,Yes,Yes,Cable,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,15,75.65,Yes,19,46.38,1146.65,0,0,695.7,1842.35,3
Female,76,No,0,33.362575,-117.299644,42239,3,0,No,None,Yes,Yes,DSL,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,3,45,No,6,30.14,127.1,0,10,90.42,227.52,1
Male,77,Yes,0,40.704293,-122.803899,1845,2,2,No,Offer D,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,12,80.45,Yes,19,6.97,950.2,0,0,83.64,1033.84,1
Male,76,Yes,0,32.957195,-117.202542,28201,2,2,No,Offer D,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,No,Month-to-Month,Yes,Mailed Check,13,89.05,Yes,5,1.47,1169.35,0,0,19.11,1188.46,1
Female,77,No,0,32.957195,-117.202542,28201,2,0,No,Offer D,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,23,94.75,Yes,6,31.17,2293.6,0,0,716.91,3010.51,1
Female,80,Yes,0,32.957195,-117.202542,28201,1,1,Yes,None,Yes,Yes,Cable,No,No,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,17,85.35,Yes,6,36.82,1463.45,0,0,625.94,2089.39,1
Male,65,No,0,32.957195,-117.202542,28201,3,0,No,None,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,1,79.1,Yes,16,121.4,79.1,0,0,121.4,121.4,1
Male,68,No,0,32.898613,-117.202937,4258,2,0,No,Offer E,Yes,Yes,Cable,No,No,Yes,No,No,No,No,Month-to-Month,Yes,Mailed Check,1,50.15,Yes,12,39.78,50.15,0,0,39.78,89.93,1
Female,72,No,0,33.86532,-118.396336,18693,1,0,No,Offer E,Yes,Yes,DSL,No,Yes,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,1,69.6,Yes,15,34.51,69.6,0,0,34.51,104.11,1
Male,76,Yes,0,34.110444,-118.156957,23984,2,1,Yes,None,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,32,85.3,Yes,10,49.6,2661.1,0,0,1587.2,4248.3,1
Female,70,Yes,0,34.167926,-118.267539,21990,2,1,No,None,No,Yes,Cable,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,57,44.85,Yes,3,0,2572.95,12.07,0,0,2560.88,3
Male,71,No,0,34.136306,-118.26036,17015,2,0,No,Offer E,Yes,Yes,Cable,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,1,45.1,Yes,14,15.28,45.1,0,0,15.28,60.38,3
Male,75,No,0,34.200175,-118.540958,68018,3,0,No,Offer E,No,Yes,DSL,No,Yes,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,1,43.3,Yes,26,0,43.3,0,0,0,43.3,5
Female,67,No,0,34.321621,-118.399841,81986,1,0,No,None,Yes,Yes,DSL,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Credit Card,38,57.15,Yes,27,26.1,2250.65,0,0,991.8,3242.45,3
Female,65,No,0,34.177267,-118.31003,11517,1,0,Yes,None,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,35,100.5,Yes,22,15.98,3653.35,0,0,559.3,4212.65,3
Female,80,No,0,34.187599,-118.387125,45358,1,0,No,Offer E,Yes,Yes,DSL,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,1,45.1,Yes,14,15.24,45.1,0,0,15.24,60.34,1
Male,71,Yes,0,33.990646,-117.663025,75319,3,1,No,None,Yes,Yes,DSL,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,30,50.4,Yes,29,4.65,1527.5,0,0,139.5,1667,3
Female,70,No,0,34.127621,-117.717863,34716,3,0,No,Offer E,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Month-to-Month,No,Bank Withdrawal,5,78.95,Yes,20,12.27,378.4,0,0,61.35,439.75,3
Male,78,Yes,0,32.825086,-117.199424,51213,2,1,Yes,None,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,No,Two Year,Yes,Bank Withdrawal,58,108.85,Yes,19,49.38,6287.25,0,0,2864.04,9151.29,1
Female,73,No,0,32.825086,-117.199424,51213,2,0,No,None,Yes,Yes,Fiber Optic,Yes,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,2,81,No,11,47.28,371.65,40.64,10,236.4,577.41,1
Female,68,Yes,0,32.85723,-117.209774,34902,1,1,Yes,None,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,5,81,No,11,47.28,371.65,40.64,10,236.4,577.41,1
Female,69,Yes,0,33.362575,-117.299644,42239,3,0,Yes,None,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,No,Two Year,No,Credit Card,3,70.55,Yes,13,18.2,70.55,0,0,18.2,88.75,1
Female,72,No,0,34.358321,-117.618263,4253,3,0,No,Offer E,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,1,70.55,Yes,13,18.2,70.55,0,0,18.2,88.75,3
Male,75,Yes,0,33.581045,-117.14719,18311,3,1,Yes,None,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,29,98.5,No,28,25.78,3004.15,37.55,40,747.62,3754.22,3
Male,72,Yes,0,33.82769,-117.102244,7344,3,1,Yes,None,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,7,74.4,Yes,17,8.92,527.9,32.46,0,62.44,557.88,3
Female,68,No,0,33.703976,-117.824172,17621,1,0,Yes,None,Yes,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,2,88.55,Yes,28,156.545,179.25,0,0,313.09,222.39,1
Female,68,No,0,33.600987,-117.862734,13422,3,0,No,None,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,1,91.3,Yes,2,43.61,91.3,0,0,43.61,134.91,3
Female,75,Yes,0,33.744439,-117.98588,8660,2,1,No,None,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,7,70.1,Yes,22,16.05,490.7,20.23,0,112.35,559.67,3
Male,74,Yes,0,33.601309,-117.902304,4242,2,1,Yes,None,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,57,95.25,Yes,21,49.91,5427.05,12.59,0,2844.87,8259.33,3
Female,78,Yes,0,33.62251,-117.927024,22133,1,4,Yes,None,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,1,100.8,Yes,23,17.35,100.8,0,0,17.35,118.15,3
Male,79,No,0,34.419203,-119.710008,31727,1,2,Yes,Offer A,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Credit Card,66,103.3659091,Yes,25,28.86,6822.15,0,0,1904.76,8726.91,1
Male,69,Yes,0,34.437945,-119.77191,15757,3,1,Yes,None,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,Yes,Bank Withdrawal,69,108.4,Yes,4,48.88,7318.2,0,0,3372.72,10690.92,3
Female,65,Yes,0,33.507255,-117.029473,46171,3,0,No,None,Yes,Yes,Fiber Optic,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,5,104.75,Yes,4,34.58,5510.65,0,0,1936.48,7447.13,1
Female,79,No,0,35.842889,-121.004862,1363,2,0,Yes,None,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,21,94.25,Yes,9,21.15,1973.75,0,0,444.15,2417.9,1
Male,65,Yes,0,34.598221,-117.79593,6787,1,1,Yes,None,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Credit Card,40,91.01125,Yes,20,49.5,3640.45,0,0,1980,5620.45,1
Male,66,No,0,34.598221,-117.79593,6787,3,0,No,None,No,Yes,DSL,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,2,24.45,Yes,6,0,47.5,0,0,0,47.5,1
Male,72,No,0,36.814539,-119.711868,33856,3,0,Yes,None,Yes,Yes,DSL,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,7,84.8,Yes,13,39.51,546.95,0,0,276.57,823.52,1
Female,74,No,0,36.497895,-119.285484,5519,3,0,Yes,None,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,31,99.95,Yes,4,39.36,3186.65,0,0,1220.16,4406.81,1
Female,80,No,0,36.789213,-119.140338,506,1,0,Yes,None,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,57,74.2,Yes,9,23.53,1133.9,43.31,0,352.95,1443.54,2
Male,76,Yes,0,35.930782,-121.189757,254,1,2,Yes,None,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,46,100.7,Yes,17,49.11,4541.2,46.64,0,2259.06,6753.62,2
Male,75,No,0,36.689582,-121.758398,21759,2,0,No,None,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,1,69.5,No,15,41.2,69.5,0,80,41.2,190.7,4
Male,65,Yes,0,36.125529,-120.864443,521,2,1,Yes,None,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Credit Card,36,85.25,Yes,5,24.54,3132.75,0,0,883.44,4016.19,2
Male,79,No,0,37.800254,-122.436975,22920,1,0,No,None,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,No,One Year,No,Credit Card,45,62.7,Yes,22,10.67,2791.5,0,0,480.15,3271.65,2
Male,73,No,0,37.800254,-122.436975,22920,2,0,Yes,Offer C,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,No,No,Month-to-Month,No,Credit Card,25,105.95,Yes,22,46.34,2655.25,0,0,1158.5,3813.75,4
Male,79,No,0,37.800254,-122.436975,22920,1,0,Yes,Offer C,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,39,95.65,No,23,41.93,3759.05,0,150,1635.27,5544.32,5
Male,71,No,0,37.556634,-122.317723,23393,1,0,Yes,None,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,3,76.05,Yes,5,30.25,231.8,0,0,90.75,322.55,1
Male,69,No,0,38.013825,-122.039144,36186,1,0,No,None,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,69.75,Yes,5,33.84,69.75,0,0,33.84,103.59,1
Female,75,No,0,37.921137,-122.657562,781,1,0,No,Offer D,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,10,79.25,Yes,18,7.51,793.55,0,0,75.1,868.65,1
Female,66,Yes,0,36.863303,-121.781632,899,1,0,Yes,None,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Two Year,Yes,Bank Withdrawal,1,86.05,Yes,23,38.78,86.05,0,0,38.78,124.83,1
Female,72,No,0,37.375156,-121.795867,60620,1,0,No,Offer D,No,Yes,DSL,No,No,No,No,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,10,34.7,Yes,4,0,329.8,0,0,0,329.8,5
Male,72,Yes,0,37.375156,-121.795867,60620,1,1,No,Offer D,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Credit Card,16,74.3,Yes,8,26.12,1178.25,0,0,417.92,1596.17,1
Male,80,No,0,37.4695,-120.672724,809,1,0,No,None,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,8,69.7,Yes,20,14.89,560.85,0,0,119.12,679.97,2
Female,68,Yes,0,37.605926,-120.69955,1055,1,0,No,None,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,47,70.55,No,26,26.95,3315.85,33.59,0,1266.65,4548.91,2
Male,78,Yes,0,39.724433,-123.767578,309,1,0,Yes,None,Yes,Yes,Fiber Optic,No,No,Yes,No,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,41,99.8,Yes,15,22.56,4259.3,8.88,0,924.96,5175.38,2
Female,70,No,0,38.69508,-121.271616,43718,3,0,No,Offer C,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,32,74.4,Yes,9,33.22,2276.95,44.31,0,1063.04,3295.68,1
Male,69,Yes,0,38.313447,-121.123886,1745,3,1,No,None,Yes,Yes,Cable,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,50,71.05,Yes,24,4.6,3444.85,0,0,230,3674.85,5
Female,78,No,0,38.419525,-122.521585,1653,3,0,Yes,Offer E,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,2,85.55,Yes,25,5.49,187.45,0,0,10.98,198.43,2
Female,75,No,0,38.646096,-121.442433,34894,1,0,No,None,Yes,Yes,DSL,No,No,No,Yes,Yes,No,No,Month-to-Month,No,Bank Withdrawal,16,59.4,Yes,16,156.51125,950.4,0,0,2504.18,1613.18,4
Female,75,No,0,39.449794,-121.936372,303,1,0,Yes,Offer C,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,38,99.55,Yes,2,47.39,3734.25,0,0,1800.82,5535.07,2
Male,70,Yes,0,39.971228,-121.041166,6189,1,1,No,None,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,17,78.18823529,Yes,16,9.5,1329.2,0,0,161.5,1490.7,1
Male,67,Yes,0,40.022184,-121.062384,73,1,1,No,Offer E,No,Yes,DSL,No,No,No,No,Yes,No,No,Month-to-Month,Yes,Credit Card,3,36.45,Yes,20,0,93.7,0,0,0,93.7,1
Female,69,No,0,40.022184,-121.062384,73,1,0,No,Offer E,No,Yes,DSL,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,1,25.05,Yes,21,0,25.05,0,0,0,25.05,1
Female,70,Yes,0,41.171578,-120.913161,615,1,1,No,Offer B,No,Yes,DSL,No,Yes,Yes,No,Yes,Yes,No,Month-to-Month,No,Credit Card,43,55.55,Yes,21,0,2342.2,0,0,0,2342.2,1
Female,77,No,0,40.186772,-122.388361,26438,1,0,Yes,Offer C,Yes,Yes,Fiber Optic,Yes,Yes,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,37,106.75,Yes,2,41.85,4056.75,0,0,1548.45,5605.2,4
