Customer ID,Count,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,ID,Population,Satisfaction Score,Churn Category
7351-MHQVU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8631-XVRZL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3143-ILDAL,1,Female,58,No,No,Yes,No,0,United States,California,Woody,93287,"35.710244, -118.881679",35.710244,NA,702,88,NA,Attitude
4797-AXPXK,1,Female,NA,Yes,No,Yes,Yes,2,United States,California,Tranquillity,93668,"36.635661, -120.288644",36.635661,-120.288644,840,1130,3,No Churn
6164-HAQTX,NA,NA,24,Yes,No,Yes,Yes,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,No Churn
1930-QPBVZ,1,Male,29,Yes,No,NA,No,0,United States,California,Sunnyvale,NA,"37.3511, -122.037311",37.3511,-122.037311,NA,NA,4,NA
0526-SXDJP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3671-SHRSP,1,Female,NA,No,No,No,Yes,NA,United States,NA,NA,94070,"37.497915, -122.267361",NA,NA,908,28098,5,No Churn
6101-IMRMM,1,Female,NA,Yes,No,Yes,No,0,United States,California,NA,94574,"38.581354, -122.296283",38.581354,-122.296283,1000,9423,3,Price
7131-ZQZNK,1,Female,20,Yes,No,NA,Yes,2,United States,California,La Mirada,90638,"33.902045, -118.008961",33.902045,NA,124,47568,3,No Churn
7401-RUBNK,1,Female,66,No,Yes,Yes,NA,0,United States,California,San Diego,92122,"32.85723, -117.209779",32.85723,-117.209774,373,34902,1,NA
1775-KWJKQ,1,Female,27,Yes,No,No,NA,0,United States,California,Los Angeles,90026,"34.078991, -118.263804",34.078991,-118.263804,25,73686,3,No Churn
4078-SAYYN,1,NA,65,No,Yes,NA,No,0,United States,California,San Ramon,94583,NA,37.766556,-121.976784,1006,44078,2,Competitor
9774-NRNAU,1,NA,75,No,Yes,Yes,Yes,NA,United States,California,Rio Vista,94571,"38.148862, -121.737696",NA,-121.737696,998,5246,3,No Churn
2123-AGEEN,1,Male,20,Yes,No,No,No,NA,United States,California,Torrance,90501,"33.833699, -118.314387",33.833699,-118.314387,108,40705,3,No Churn
7925-PNRGI,1,Male,34,No,No,Yes,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8290-YWKHZ,1,Female,25,Yes,No,No,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
0742-MOABM,1,Female,39,No,No,No,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Attitude
2957-LOLHO,1,Female,67,No,Yes,Yes,NA,NA,United States,NA,NA,91384,"34.506627, -118.699048",34.506627,-118.699048,222,22177,3,NA
1237-WIYYZ,1,Female,26,Yes,No,No,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
5884-GCYMI,1,Female,57,NA,No,No,No,0,United States,California,Fresno,NA,"36.623632, -119.741322",36.623632,-119.741322,NA,NA,NA,No Churn
8063-RJYNF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3452-GWUIN,1,Male,29,Yes,No,Yes,NA,0,United States,California,Anaheim,92801,"33.844983, -117.952151",33.844983,-117.952151,582,60553,3,No Churn
3808-HFKDE,1,Female,31,No,No,Yes,No,0,United States,California,Oakland,NA,"37.803883, -122.208417",37.803883,-122.208417,NA,NA,4,NA
6713-OKOMC,1,Male,61,No,No,No,No,NA,United States,NA,Hinkley,92347,"34.983808, -117.239306",34.983808,NA,464,1933,3,No Churn
3039-MJSLN,1,NA,62,No,No,Yes,No,0,NA,California,Gerber,96035,"40.03194, -122.176023",40.03194,-122.176023,1587,3357,5,NA
9039-ZVJDC,1,Female,65,No,Yes,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Churn
8701-DGLVH,1,Female,62,No,No,No,NA,0,United States,California,Corning,96021,"39.913777, -122.289984",39.913777,-122.289984,1575,13840,NA,No Churn
8630-FJLIB,1,Female,44,No,No,NA,Yes,2,United States,California,Los Angeles,NA,"34.108455, -118.362081",34.108455,-118.362081,NA,NA,3,No Churn
1850-AKQEP,1,Male,24,Yes,No,Yes,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Churn
2153-MREFK,1,Male,35,No,No,No,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
8313-NDOIA,1,NA,62,No,No,No,Yes,1,NA,California,San Bernardino,92405,"34.142747, -117.300864",34.142747,-117.300864,491,24644,NA,No Churn
2703-AMTUL,1,Female,60,No,No,No,No,0,United States,California,Rancho Santa Fe,92067,"33.012751, -117.200617",33.012751,NA,342,7615,NA,No Churn
5789-LDFXO,1,Female,NA,No,No,No,No,0,United States,California,Elmira,95625,"38.349195, -121.902943",38.349195,-121.902943,1382,171,3,Dissatisfaction
4522-AKYLR,1,Female,49,No,No,No,No,0,United States,California,Fremont,94555,"37.555473, -122.080312",37.555473,-122.080312,985,33883,3,No Churn
5168-MQQCA,1,Female,23,Yes,No,NA,No,0,United States,California,NA,94920,"37.885629, -122.46858",37.885629,-122.46858,1050,13065,NA,NA
2121-JAFOM,1,Male,39,No,No,Yes,No,NA,United States,California,NA,NA,NA,41.505916,-120.152505,NA,NA,3,No Churn
1732-FEKLD,1,Female,51,No,No,No,No,0,United States,California,King City,93930,NA,36.220761,-120.980777,872,14477,3,No Churn
6860-YRJZP,NA,Female,21,NA,No,Yes,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,No Churn
8070-AAWZP,1,Male,56,No,NA,Yes,Yes,3,NA,California,Pollock Pines,95726,"38.733908, -120.453416",NA,-120.453416,1452,8577,5,No Churn
7766-CLTIC,1,Female,70,No,Yes,No,No,NA,United States,California,Perris,NA,NA,33.787298,-117.320676,NA,NA,2,NA
5067-XJQFU,1,Male,46,No,No,No,No,0,United States,California,Groveland,NA,"37.902968, -119.667544",37.902968,-119.667544,NA,NA,5,No Churn
4847-QNOKA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0807-ZABDG,NA,Male,44,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,No Churn
7233-IOQNP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1384-RCUXW,1,Female,33,No,No,NA,No,0,United States,California,Calpine,96124,"39.672813, -120.456699",39.672813,NA,1653,322,5,No Churn
9968-FFVVH,1,Male,NA,No,No,No,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,No Churn
7989-CHGTL,1,Female,24,Yes,No,No,No,0,United States,California,Delhi,95315,"37.422961, -120.765493",37.422961,-120.765493,1195,10159,NA,Price
8096-LOIST,1,Male,43,NA,No,Yes,No,0,United States,California,Potter Valley,NA,"39.408634, -123.045516",39.408634,-123.045516,NA,NA,4,No Churn
5364-EVNIB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4789-KWMXN,NA,Female,32,No,No,No,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Churn
1084-UQCHV,1,NA,27,Yes,No,Yes,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,No Churn
0788-DXBFY,1,Male,60,No,No,No,No,0,United States,California,Bakersfield,93306,"35.449881, -118.841442",35.449881,-118.841442,708,53481,5,No Churn
6791-YBNAK,NA,Female,34,No,No,NA,No,0,United States,California,Twain,NA,"40.022184, -121.062384",40.022184,-121.062384,NA,NA,3,Dissatisfaction
4837-QUSFT,1,Female,50,No,No,NA,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Churn
5948-UJZLF,1,Female,68,NA,Yes,Yes,No,0,United States,California,NA,90063,"34.044271, -118.185237",34.044271,-118.185237,54,55668,4,No Churn
0913-XWSCN,1,Male,27,Yes,No,Yes,Yes,1,United States,California,Huron,93234,"36.217864, -120.080117",NA,-120.080117,664,6918,3,No Churn
1934-MKPXS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6435-VWCCY,1,Female,39,No,No,Yes,Yes,2,United States,California,Cobb,95426,"38.838088, -122.73203",38.838088,-122.73203,1266,1591,4,No Churn
0402-CQAJN,1,Female,69,No,Yes,NA,No,0,United States,California,Winton,95388,"37.421299, -120.599587",37.421299,-120.599587,1247,11463,1,Dissatisfaction
2359-KMGLI,1,Male,73,No,Yes,NA,No,0,United States,California,Grizzly Flats,95636,"38.636102, -120.522149",38.636102,-120.522149,1393,659,NA,Dissatisfaction
1010-DIAUQ,1,Female,51,No,No,NA,No,0,United States,California,Sacramento,95837,"38.691607, -121.602284",38.691607,-121.602284,1486,264,3,NA
9391-EOYLI,1,Male,29,Yes,No,No,No,NA,United States,California,Surfside,90743,"33.728273, -118.085304",33.728273,NA,146,174,NA,No Churn
9447-YPTBX,1,Male,26,Yes,No,No,No,0,United States,California,Pleasant Hill,94523,"37.95338, -122.076886",37.95338,-122.076886,966,32685,3,NA
7356-AYNJP,NA,Male,45,No,No,No,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Attitude
3266-FTKHB,NA,Male,48,No,No,No,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
9909-IDLEK,1,Male,31,No,No,NA,No,0,United States,California,Saratoga,95070,"37.257772, -122.051824",37.257772,NA,1115,30589,3,NA
8065-BVEPF,1,Female,66,No,Yes,No,NA,0,United States,California,NA,90815,"33.797638, -118.11662",NA,-118.11662,160,38902,5,NA
7892-POOKP,1,Male,24,Yes,No,Yes,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,No Churn
8050-XGRVL,1,Male,NA,No,No,NA,No,0,United States,California,Los Angeles,90025,"34.046174, -118.446333",34.046174,-118.446333,24,41175,NA,No Churn
0668-OGMHD,1,Male,49,No,No,Yes,Yes,2,United States,California,NA,91006,"34.137319, -118.029837",34.137319,NA,163,30028,3,NA
8755-OGKNA,NA,Female,78,No,Yes,No,NA,0,NA,NA,Indian Wells,92210,"33.537646, -116.291089",33.537646,NA,387,3873,3,Competitor
1818-ESQMW,1,NA,NA,NA,Yes,NA,No,0,United States,California,Los Angeles,90018,"34.028735, -118.317236",34.028735,-118.317236,17,47143,3,No Churn
9133-AYJZG,1,Male,32,No,No,No,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Competitor
7814-LEEVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4570-QHXHL,1,NA,25,NA,NA,Yes,Yes,3,United States,California,Calipatria,92233,"33.143826, -115.497485",NA,-115.497485,395,7857,4,NA
6022-UGGSO,1,Male,69,No,Yes,Yes,No,0,United States,California,Pine Valley,91962,"32.800671, -116.483363",32.800671,-116.483363,310,1604,3,No Churn
7446-YPODE,1,Male,71,No,Yes,Yes,No,0,NA,California,Upland,91786,"34.105493, -117.660934",34.105493,-117.660934,283,48827,3,No Churn
8399-YNDCH,1,Male,47,No,No,No,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Churn
5196-WPYOW,1,Male,28,Yes,No,No,No,0,NA,NA,Anaheim,92802,"33.807864, -117.923782",NA,-117.923782,583,45086,NA,No Churn
7602-MVRMB,1,Male,NA,No,NA,Yes,No,0,United States,California,Santa Ana,92705,"33.766004, -117.786763",33.766004,-117.786763,576,44117,2,NA
0856-NAOES,1,Male,76,No,Yes,Yes,No,0,United States,California,Hilmar,95324,"37.394536, -120.890747",37.394536,-120.890747,1203,7177,4,No Churn
5433-KYGHE,1,Female,48,NA,No,Yes,No,0,NA,California,Palomar Mountain,92060,"33.309852, -116.823091",NA,-116.823091,337,234,5,NA
2999-AANRQ,1,Female,54,No,No,No,NA,0,United States,California,Hilmar,NA,"37.394536, -120.890747",NA,-120.890747,NA,NA,3,No Churn
2080-CAZNM,1,Female,29,Yes,No,No,No,0,United States,California,Tahoe Vista,96148,"39.24124, -120.054765",39.24124,-120.054765,1669,678,3,NA
1414-YADCW,NA,Female,62,No,No,Yes,Yes,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
7714-YXSMB,1,Male,44,No,No,No,Yes,1,United States,California,La Honda,94020,"37.285677, -122.224165",37.285677,-122.224165,888,1622,NA,No Churn
3541-ZNUHK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7089-IVVAZ,1,Female,56,No,No,No,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,No Churn
7817-BOQPW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8496-EJAUI,1,Female,57,No,No,No,No,0,United States,California,Compton,90221,"33.885811, -118.206459",33.885811,NA,68,51387,NA,Dissatisfaction
8059-UDZFY,NA,Female,55,No,No,Yes,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,No Churn
6266-QHOJZ,1,Male,22,Yes,No,No,No,0,United States,California,NA,95549,NA,40.664483,-123.865325,1338,264,3,NA
9643-YBLUR,1,Male,63,No,No,NA,No,0,NA,California,San Martin,95046,NA,37.084697,-121.606417,1106,5671,3,Competitor
4829-ZLJTK,1,Male,61,No,No,Yes,NA,0,United States,California,North Palm Springs,92258,"33.906496, -116.569499",NA,-116.569499,411,732,2,Other
2038-YSEZE,1,Male,59,No,No,NA,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6176-YJWAS,1,Male,28,NA,No,No,No,0,NA,California,Ivanhoe,93235,NA,36.385818,-119.224243,665,4517,1,Price
5366-OBVMR,1,Female,45,No,NA,NA,Yes,3,United States,California,Duncans Mills,95430,"38.445603, -123.063756",38.445603,-123.063756,1270,187,4,NA
7480-QNVZJ,1,Female,38,No,No,Yes,NA,3,United States,California,NA,90717,"33.794209, -118.317354",33.794209,-118.317354,139,21065,2,Dissatisfaction
6218-KNUBD,1,Female,32,No,No,Yes,Yes,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
9441-QHEVC,NA,Female,62,NA,No,No,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Competitor
8751-EDEKA,1,Female,20,Yes,No,No,NA,0,United States,California,Los Angeles,90026,"34.078991, -118.263804",NA,-118.263804,25,73686,4,No Churn
3428-MMGUB,1,NA,30,No,No,No,No,0,United States,California,Bakersfield,93308,"35.559617, -118.925185",35.559617,-118.925185,710,44915,3,NA
4530-NDRKU,1,Male,58,NA,No,No,No,0,United States,NA,Clearlake Oaks,95423,"39.07116, -122.598542",39.07116,NA,1263,3684,2,Other
7392-YYPYJ,1,NA,39,No,No,No,No,0,United States,California,San Diego,92139,NA,32.677716,-117.047666,382,36351,5,No Churn
3096-WPXBT,1,Female,26,Yes,No,Yes,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,No Churn
1725-IQNIY,1,Male,42,No,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Churn
6173-ITPWD,1,Female,40,No,No,No,No,NA,United States,NA,Harbor City,90710,"33.798266, -118.300237",33.798266,-118.300237,134,24660,NA,No Churn
1730-ZMAME,1,Female,60,No,No,Yes,No,NA,United States,California,Los Angeles,90003,"33.964131, -118.272783",33.964131,-118.272783,3,58198,NA,No Churn
4654-ULTTN,NA,Female,38,No,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,No Churn
4137-JOPHL,1,Female,61,No,No,Yes,NA,0,United States,California,Cathedral City,92234,"33.829583, -116.474131",33.829583,NA,396,43141,NA,No Churn
8221-EQDGL,1,Female,42,No,NA,Yes,Yes,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,No Churn
1452-XRSJV,NA,NA,63,No,No,Yes,Yes,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA
4635-EJYPD,1,Female,NA,No,No,No,NA,0,United States,California,Sacramento,95835,"38.685069, -121.543709",38.685069,-121.543709,1484,854,3,No Churn
5012-YSPJJ,NA,Male,71,No,Yes,Yes,Yes,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,No Churn
5143-WMWOG,1,NA,23,Yes,No,Yes,No,0,NA,California,Oak Park,NA,"34.19225, -118.776874",34.19225,NA,NA,NA,3,No Churn
1535-VTJOQ,1,Female,76,No,NA,NA,No,0,United States,California,San Diego,92117,"32.825086, -117.199424",32.825086,-117.199424,368,51213,2,NA
8201-AAXCB,1,NA,43,No,NA,Yes,NA,3,NA,California,Seaside,93955,NA,36.625114,-121.823565,879,38244,NA,No Churn
6198-PNNSZ,1,Female,64,NA,No,NA,No,0,United States,California,Pasadena,91104,NA,34.165383,-118.123752,175,38460,NA,No Churn
4770-UEZOX,1,Female,61,NA,No,NA,No,0,United States,California,Ione,95640,"38.33788, -120.954202",38.33788,-120.954202,1397,9752,NA,NA
6140-QNRQQ,1,Male,21,Yes,No,NA,No,0,United States,California,Orange,92868,"33.787796, -117.875928",33.787796,NA,605,23172,3,No Churn
9927-DSWDF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6583-KQJLK,1,Female,37,No,No,No,No,0,NA,NA,NA,92501,"33.994676, -117.372498",33.994676,-117.372498,496,18999,5,No Churn
6064-PUPMC,1,Male,31,No,NA,Yes,NA,0,NA,California,San Diego,92129,"32.961064, -117.134917",32.961064,-117.134917,379,47224,1,Competitor
7825-ECJRF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8713-IGZSO,NA,Female,NA,Yes,No,Yes,Yes,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,No Churn
5451-YHYPW,1,Male,NA,No,Yes,Yes,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Churn
1090-ESELR,1,Female,74,No,Yes,Yes,No,0,United States,California,Glencoe,95232,"38.358464, -120.579304",NA,-120.579304,1169,21,2,Attitude
5882-CMAZQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1356-MKYSK,1,Male,43,No,NA,No,NA,0,United States,California,NA,95620,"38.392821, -121.799917",38.392821,-121.799917,1378,18529,1,Competitor
2933-FILNV,1,Male,29,Yes,No,No,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,No Churn
7014-ZZXAW,1,Female,56,No,No,No,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4566-NECEV,NA,Female,NA,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,No Churn
5986-WWXDV,1,Female,29,NA,No,Yes,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,No Churn
3620-EHIMZ,1,Female,56,NA,No,Yes,NA,0,United States,California,Sequoia National Park,93262,"36.527243, -118.594938",36.527243,-118.594938,685,56,NA,No Churn
7534-BFESC,1,Female,48,No,NA,No,No,0,United States,NA,Green Valley Lake,92341,"34.244411, -117.072654",34.244411,NA,460,317,5,No Churn
4816-LXZYW,1,Male,66,No,Yes,No,No,0,NA,California,Palmdale,93591,"34.598221, -117.79593",34.598221,-117.79593,788,6787,3,Competitor
4940-KHCWD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9675-ICXCT,1,Male,NA,No,No,No,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0430-IHCDJ,NA,Male,48,NA,No,NA,Yes,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,No Churn
2239-CFOUJ,1,Male,74,No,Yes,Yes,No,0,United States,California,La Canada Flintridge,NA,"34.234912, -118.153729",34.234912,-118.153729,NA,NA,1,Competitor
3359-DSRKA,1,Male,44,No,No,Yes,No,0,United States,California,Occidental,95465,NA,38.415003,-122.998726,1298,1880,3,No Churn
2400-XIWIO,1,Male,38,No,NA,Yes,No,0,United States,California,Tarzana,91356,"34.157137, -118.548511",34.157137,-118.548511,214,27424,2,Price
2040-OBMLJ,1,Female,NA,No,NA,No,NA,0,United States,NA,San Jose,NA,"37.233226, -121.78809",37.233226,NA,NA,NA,3,No Churn
