Customer ID,Count.x,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Count.y,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,ID,Population,Satisfaction Score,Count,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Churn Category
3196-NVXLZ,1,Male,65,NA,Yes,No,No,0,1,United States,California,NA,NA,"34.097345, -117.906736",34.097345,-117.906736,NA,NA,1,NA,Q3,No,0,NA,Offer D,Yes,29.11,No,Yes,Fiber Optic,29,No,Yes,NA,No,No,No,No,NA,Month-to-Month,Yes,NA,NA,1074.3,NA,0,436.65,1510.9499999999998,Competitor
5939-SXWHM,1,Male,77,No,Yes,Yes,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Q3,Yes,1,1,Offer E,NA,0,No,Yes,DSL,12,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,40.2,0,0,0,40.2,Dissatisfaction
1730-VFMWO,NA,Male,68,No,Yes,No,No,0,1,United States,NA,Rowland Heights,91748,"33.976753, -117.897367",NA,-117.897367,263,46342,1,1,NA,NA,0,13,Offer D,Yes,32.68,Yes,NA,Cable,11,No,Yes,Yes,NA,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,NA,1364.3,0,10,424.84,1799.1399999999999,NA
7037-MTYVW,NA,Female,68,NA,Yes,No,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Q3,No,0,16,NA,Yes,NA,No,Yes,Fiber Optic,9,No,No,NA,Yes,Yes,Yes,Yes,Yes,Month-to-Month,NA,Bank Withdrawal,94.45,1511.2,0,0,150.88,1662.08,NA
6463-HHXJR,1,Male,66,No,Yes,NA,No,0,1,United States,California,Alpine,91901,"32.827184, -116.703729",32.827184,-116.703729,290,16486,2,1,NA,No,0,8,NA,Yes,1.78,No,Yes,Fiber Optic,7,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,NA,74.5,606.55,0,0,14.24,NA,NA
4981-FLTMF,1,Male,NA,No,Yes,Yes,No,0,1,United States,California,San Diego,NA,NA,32.85723,-117.209774,NA,NA,2,1,Q3,Yes,2,32,Offer C,Yes,47.34,Yes,Yes,Fiber Optic,10,No,NA,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.9,2303.35,0,0,1514.88,3818.23,NA
3522-CDKHF,1,Male,77,No,Yes,Yes,No,NA,1,United States,California,San Diego,92122,"32.85723, -117.209760",32.85723,-117.209774,373,34902,2,1,Q3,Yes,1,24,Offer C,Yes,16.1,No,Yes,NA,12,No,No,Yes,No,Yes,NA,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.15,2231.05,0,0,386.40000000000003,2617.4500000000003,Competitor
9351-LZYGF,NA,Female,70,No,Yes,No,No,0,1,United States,California,San Diego,92122,"32.85723, -117.209761",32.85723,-117.209774,373,34902,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Competitor
8999-XXGNS,1,Female,74,No,Yes,No,No,0,NA,United States,California,NA,92122,"32.85723, -117.209762",NA,-117.209774,373,34902,NA,1,Q3,No,0,2,Offer E,Yes,13.17,No,Yes,Fiber Optic,NA,No,No,No,No,No,No,No,NA,Month-to-Month,Yes,Bank Withdrawal,70.35,139.05,0,0,26.34,165.39000000000001,Other
8443-WVPSS,1,Female,77,No,NA,No,No,0,NA,United States,California,San Diego,92122,"32.85723, -117.209770",32.85723,-117.209774,373,34902,1,1,Q3,No,0,21,None,No,NA,No,Yes,Cable,8,Yes,No,No,No,NA,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,41.9,NA,0,0,0,840.1,NA
9540-JYROE,1,Male,NA,No,Yes,Yes,No,0,1,United States,California,San Diego,92122,"32.85723, -117.209772",32.85723,-117.209774,373,34902,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Competitor
4615-PIVVU,1,NA,79,No,Yes,Yes,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,Q3,NA,1,11,None,Yes,29.54,No,No,None,0,No,NA,No,NA,No,No,No,NA,Month-to-Month,No,Mailed Check,19.95,214.75,0,0,324.94,539.69,NA
7401-RUBNK,1,Female,66,No,Yes,Yes,NA,0,1,United States,California,San Diego,92122,"32.85723, -117.209779",32.85723,-117.209774,373,34902,1,1,Q3,Yes,2,55,Offer B,NA,42.82,Yes,Yes,Fiber Optic,27,No,NA,Yes,No,No,No,No,No,Month-to-Month,Yes,NA,85.45,4874.7,0,90,2355.1,7319.799999999999,NA
5701-GUXDC,1,Male,77,No,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Q3,No,0,3,Offer E,NA,9.22,Yes,Yes,Fiber Optic,14,NA,Yes,No,No,NA,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.35,233.7,0,0,27.660000000000004,261.36,NA
9609-BENEA,1,Female,80,No,Yes,No,No,0,1,United States,California,Thermal,92274,"33.53604, -116.119222",33.53604,NA,421,17018,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dissatisfaction
1723-HKXJQ,1,Female,77,No,Yes,No,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,Q3,No,0,5,Offer E,No,0,No,NA,DSL,26,No,Yes,No,No,NA,No,No,Yes,Month-to-Month,NA,Bank Withdrawal,28.45,131.05,0,0,0,131.05,Dissatisfaction
0479-HMSWA,1,Female,77,No,Yes,No,No,0,1,United States,California,Hemet,92544,"33.644585, -116.871544",33.644585,NA,510,39264,1,1,Q3,No,0,20,None,Yes,48.73,NA,Yes,NA,12,No,Yes,Yes,No,No,Yes,No,NA,NA,NA,Bank Withdrawal,94.1,1782.4,0,NA,974.5999999999999,2837,Competitor
0027-KWYKW,1,Female,72,No,Yes,Yes,NA,0,1,United States,California,NA,92557,"33.970661, -117.255039",33.970661,-117.255039,517,46214,1,NA,Q3,Yes,4,5,NA,Yes,45.76,Yes,Yes,Fiber Optic,22,No,No,No,No,No,NA,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.35,334.8,0,NA,228.79999999999998,563.6,NA
7750-EYXWZ,1,Female,80,No,Yes,Yes,No,0,NA,NA,California,NA,92571,"33.828289, -117.201666",NA,-117.201666,523,26357,1,1,Q3,Yes,2,NA,NA,Yes,NA,No,Yes,Cable,25,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,NA,1929.35,0,NA,189.54,2118.89,Attitude
3146-MSEGF,1,Female,68,No,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Q3,No,0,1,None,Yes,45.81,Yes,Yes,Fiber Optic,21,NA,NA,No,No,Yes,No,No,NA,Month-to-Month,Yes,Bank Withdrawal,85.7,85.7,0,0,45.81,131.51,Competitor
7929-DMBCV,1,Male,75,No,NA,NA,No,0,NA,United States,California,Summerland,NA,NA,34.420998,-119.60137,NA,NA,2,1,Q3,Yes,3,49,Offer B,Yes,NA,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,No,Credit Card,90.05,4547.25,0,0,NA,NA,Competitor
3336-JORSO,1,Male,77,No,NA,Yes,No,0,1,United States,California,Santa Barbara,93101,"34.419203, -119.710008",34.419203,-119.710008,635,31727,2,1,Q3,Yes,1,43,Offer B,Yes,14.52,Yes,Yes,Fiber Optic,NA,No,NA,Yes,Yes,NA,Yes,No,NA,Month-to-Month,Yes,Bank Withdrawal,110.75,4687.9,0,0,624.36,5312.259999999999,NA
3580-REOAC,1,Male,80,No,Yes,Yes,No,0,1,United States,California,Alpaugh,93201,"35.869626, -119.498771",35.869626,-119.498771,643,1054,1,1,Q3,No,0,56,Offer B,Yes,48.8,Yes,Yes,Fiber Optic,12,Yes,No,Yes,No,Yes,Yes,NA,Yes,One Year,Yes,Bank Withdrawal,104.55,5794.65,NA,0,NA,8527.449999999999,NA
5614-DNZCE,1,NA,75,No,Yes,Yes,No,NA,1,United States,California,Camp Nelson,93208,"36.057458, -118.591951",36.057458,-118.591951,650,191,1,1,Q3,Yes,7,20,None,Yes,NA,Yes,Yes,Fiber Optic,10,No,No,No,NA,Yes,Yes,NA,Yes,Month-to-Month,Yes,Bank Withdrawal,94.55,1899.65,0,0,NA,2005.8500000000001,Competitor
4334-HOWRP,1,Female,74,No,Yes,No,No,0,1,NA,California,Fellows,93224,"35.215731, -119.57013",35.215731,-119.57013,660,626,NA,1,Q3,No,0,8,None,Yes,27.95,No,No,None,0,No,No,NA,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.65,NA,0,0,NA,387.9,NA
2550-AEVRU,1,Male,76,No,Yes,No,No,0,1,United States,NA,Temecula,92592,"33.507255, -117.029473",33.507255,-117.029473,532,46171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Competitor
4906-ZHGPK,1,Male,69,No,Yes,NA,No,0,1,United States,California,NA,92129,"32.961064, -117.134917",32.961064,-117.134917,379,47224,2,1,Q3,No,0,NA,None,NA,43.99,No,Yes,DSL,27,Yes,No,NA,No,NA,No,No,Yes,NA,Yes,Bank Withdrawal,49.25,91.1,0,0,87.98,179.07999999999998,NA
7207-RMRDB,1,Male,72,No,Yes,Yes,No,0,1,United States,NA,San Diego,92129,NA,NA,-117.134917,379,47224,3,1,Q3,Yes,1,33,None,NA,27.78,Yes,Yes,NA,8,No,No,No,No,NA,NA,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.5,NA,0,0,NA,4022.29,Other
1591-XWLGB,1,Female,69,No,Yes,No,No,0,1,United States,California,San Diego,92129,NA,32.961064,NA,379,47224,1,1,NA,No,0,30,NA,Yes,45.88,Yes,NA,Fiber Optic,19,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,91.7,2758.15,NA,0,1376.4,4134.55,NA
2424-WVHPL,1,Male,NA,No,NA,No,NA,NA,1,United States,California,NA,92129,"32.961064, -117.134917",32.961064,NA,379,47224,3,1,Q3,No,0,20,None,Yes,44.44,Yes,NA,Fiber Optic,13,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,98.55,1842.8,0,120,NA,2851.6,Competitor
4342-HFXWS,1,Female,65,NA,Yes,No,No,0,1,NA,NA,Biola,93606,"36.798882, -120.019511",36.798882,-120.019511,794,807,1,1,Q3,No,NA,NA,None,Yes,2.37,Yes,Yes,NA,20,Yes,Yes,NA,No,Yes,Yes,NA,Yes,One Year,Yes,Bank Withdrawal,110,4874.8,0,0,109.02000000000001,4983.820000000001,Competitor
1866-NXPSP,1,Male,74,No,Yes,Yes,No,0,1,United States,California,Selma,93662,"36.545322, -119.642281",36.545322,-119.642281,835,26213,NA,1,Q3,NA,1,7,None,Yes,21.91,Yes,Yes,Cable,11,No,NA,No,NA,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.6,644.35,NA,NA,153.37,797.72,Competitor
2135-DQWAQ,1,Female,65,No,Yes,No,No,NA,1,United States,California,Squaw Valley,93675,"36.719141, -119.202677",36.719141,-119.202677,843,3146,3,1,Q3,No,0,4,None,Yes,36.93,No,Yes,Fiber Optic,NA,No,NA,No,No,Yes,No,No,Yes,Month-to-Month,Yes,NA,78.85,292.8,0,0,147.72,440.52,Other
8207-VVMYB,NA,Female,66,No,NA,No,No,0,1,United States,California,Fresno,93706,"36.654614, -119.903674",36.654614,-119.903674,849,35790,3,1,Q3,No,NA,55,NA,Yes,37.38,Yes,Yes,NA,7,NA,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,100,5509.3,0,100,NA,7665.200000000001,NA
7469-LKBCI,1,Male,NA,No,Yes,Yes,No,0,1,United States,California,Jolon,93928,"35.930782, -121.189757",35.930782,-121.189757,871,254,1,1,Q3,Yes,1,20,None,Yes,5.37,No,Yes,Fiber Optic,24,NA,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.65,1463.5,0,0,107.4,1570.9,NA
5016-ETTFF,1,Male,65,No,Yes,No,No,NA,NA,NA,California,San Francisco,94102,"37.7795, -122.419233",37.7795,-122.419233,914,28998,NA,1,Q3,No,0,9,None,Yes,48.71,Yes,Yes,NA,NA,No,No,Yes,No,Yes,Yes,Yes,NA,Month-to-Month,Yes,Bank Withdrawal,100.5,918.6,0,0,438.39,1356.99,NA
9115-YQHGA,1,Male,69,No,Yes,No,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Q3,No,0,10,None,Yes,5.46,No,Yes,Fiber Optic,24,No,Yes,No,NA,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,72.85,688.65,NA,30,54.6,773.25,Competitor
5792-JALQC,1,Male,75,No,Yes,Yes,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,Q3,No,0,1,None,Yes,36.92,Yes,Yes,Fiber Optic,6,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,NA,73.55,0,NA,36.92,110.47,Price
8800-JOOCF,1,Female,NA,NA,NA,No,No,0,1,United States,California,Palo Alto,94304,"37.386978, -122.177746",37.386978,-122.177746,942,1723,1,NA,Q3,No,0,4,None,Yes,6.68,Yes,Yes,Cable,17,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.6,360.1,0,0,26.72,386.82000000000005,NA
8883-ANODQ,1,Male,71,No,Yes,No,No,0,1,NA,NA,Birds Landing,94512,"38.140719, -121.838298",38.140719,-121.838298,957,138,NA,1,NA,No,0,35,None,Yes,20.83,Yes,Yes,Fiber Optic,19,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,NA,99.05,3395.8,0,NA,NA,NA,Other
1023-BQXZE,1,Male,80,No,Yes,No,No,0,1,NA,California,Byron,94514,"37.83323, -121.601461",37.83323,-121.601461,959,10153,2,1,Q3,No,0,2,Offer E,Yes,26.62,No,Yes,DSL,11,No,No,No,No,NA,NA,No,Yes,NA,No,Credit Card,44.95,85.15,0,0,53.24,138.39000000000001,Other
3722-WPXTK,1,Male,NA,No,NA,No,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Q3,No,0,8,None,NA,NA,No,Yes,Fiber Optic,NA,Yes,NA,No,Yes,Yes,NA,Yes,Yes,NA,No,Credit Card,100.3,832.35,0,0,92.56,924.9100000000001,NA
7596-IIWYC,NA,Male,73,No,Yes,Yes,No,0,1,United States,California,NA,94550,"37.571748, -121.659562",37.571748,-121.659562,982,75929,1,NA,Q3,Yes,2,44,None,NA,NA,NA,NA,Cable,28,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,30.35,1359.7,0,0,0,1359.7,Competitor
3115-CZMZD,1,Male,77,No,Yes,NA,NA,NA,1,United States,California,Napa,94558,"38.489789, -122.27011",38.489789,NA,987,63947,NA,1,Q3,Yes,NA,62,None,Yes,7.11,Yes,Yes,Fiber Optic,16,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,103.75,6383.35,0,0,440.82,6824.17,NA
5590-YRFJT,1,Female,76,No,NA,Yes,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Q3,NA,1,33,None,Yes,33.19,Yes,Yes,Cable,15,No,Yes,No,No,No,No,NA,Yes,NA,Yes,Bank Withdrawal,80.6,2656.5,0,0,1095.27,3751.77,NA
4078-SAYYN,1,NA,65,No,Yes,NA,No,0,1,United States,California,San Ramon,94583,NA,37.766556,-121.976784,1006,44078,2,1,Q3,No,NA,4,NA,Yes,49.5,Yes,NA,Fiber Optic,23,No,NA,No,NA,NA,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,NA,424.45,0,NA,198,622.45,Competitor
2884-GBPFB,NA,Male,75,No,Yes,NA,No,NA,1,United States,California,Pleasanton,94588,"37.685052, -121.912061",37.685052,-121.912061,1010,28568,1,1,Q3,Yes,1,27,None,Yes,10.6,Yes,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.5,1893.95,0,0,286.2,2180.15,Competitor
0475-RIJEP,1,Male,75,No,Yes,No,No,0,1,United States,California,Berkeley,94704,"37.871416, -122.246597",NA,NA,1035,21205,1,1,Q3,No,0,8,Offer E,Yes,40.45,Yes,Yes,Fiber Optic,29,No,No,Yes,No,Yes,Yes,No,NA,Month-to-Month,Yes,Bank Withdrawal,100.6,819.4,0,NA,NA,1143,NA
4355-CVPVS,1,Female,68,No,Yes,Yes,NA,0,1,NA,California,Berkeley,94707,"37.897753, -122.279391",37.897753,NA,1038,11889,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Attitude
8883-GRDWQ,1,Female,71,No,Yes,No,No,0,1,United States,California,Berkeley,94710,"37.872902, -122.303708",37.872902,-122.303708,1041,8157,1,1,Q3,No,0,8,Offer E,Yes,42.93,No,Yes,Fiber Optic,9,No,No,Yes,No,Yes,Yes,No,NA,Month-to-Month,Yes,Bank Withdrawal,92.1,729.95,0,0,343.44,NA,Competitor
1657-DYMBM,1,Male,77,No,Yes,No,No,0,1,United States,California,Forest Knolls,94933,"38.010092, -122.689442",38.010092,-122.689442,1059,1025,1,1,Q3,NA,0,12,None,No,0,No,Yes,DSL,10,No,No,Yes,Yes,No,Yes,No,NA,Month-to-Month,Yes,Bank Withdrawal,43.65,NA,0,0,0,526.95,Competitor
1618-CFHME,1,NA,68,No,Yes,No,No,0,1,United States,California,Gilroy,95020,"37.03889, -121.528955",37.03889,-121.528955,1095,49968,NA,1,Q3,No,0,NA,None,Yes,3.96,No,Yes,Fiber Optic,27,No,No,NA,No,Yes,Yes,No,NA,Month-to-Month,No,Bank Withdrawal,89.7,1047.7,0,0,NA,1091.26,Attitude
5130-IEKQT,1,Male,74,No,Yes,Yes,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,Q3,Yes,1,17,NA,Yes,NA,Yes,Yes,Cable,16,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,100.45,1622.45,0,0,479.06,2101.51,Competitor
0848-ZGQIJ,1,Male,65,No,Yes,Yes,No,0,1,United States,California,San Jose,95128,"37.316146, -121.936285",37.316146,-121.936285,1134,32804,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6674-KVJHG,1,Female,73,No,Yes,Yes,NA,0,1,United States,California,San Jose,95135,"37.28682, -121.723877",37.28682,-121.723877,1141,15798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Competitor
1090-ESELR,1,Female,74,No,Yes,Yes,No,0,1,United States,California,Glencoe,95232,"38.358464, -120.579304",NA,-120.579304,1169,21,2,1,Q3,Yes,1,3,Offer E,NA,3.29,NA,Yes,Fiber Optic,9,No,No,No,No,Yes,No,No,Yes,Month-to-Month,NA,Bank Withdrawal,80.4,224.05,0,0,9.870000000000001,NA,Attitude
5286-YHCVC,NA,Male,NA,No,Yes,No,No,0,1,United States,California,Columbia,95310,"38.085839, -120.37855",38.085839,-120.37855,1191,2144,1,1,NA,No,0,21,None,Yes,34.62,No,Yes,DSL,14,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,60.05,1236.15,0,0,727.02,NA,Competitor
7839-NUIAA,1,Female,76,No,Yes,No,No,0,1,United States,California,Escondido,92027,"33.141265, -116.967221",33.141265,-116.967221,327,48690,NA,1,Q3,No,0,16,None,Yes,38.75,Yes,Yes,Fiber Optic,16,NA,No,No,No,Yes,Yes,NA,Yes,Month-to-Month,Yes,Bank Withdrawal,96.15,1529.2,0,NA,620,2149.2,NA
4163-KIUHY,1,Female,73,No,Yes,No,No,0,1,NA,California,Lakewood,90712,NA,33.840524,-118.148403,135,30173,2,1,Q3,NA,0,46,None,Yes,6.13,No,Yes,Fiber Optic,30,No,Yes,No,No,Yes,Yes,No,Yes,One Year,No,NA,NA,NA,0,0,281.98,4706.18,Competitor
2212-LYASK,1,Female,70,No,NA,Yes,No,0,1,United States,California,NA,95439,"38.493888, -122.777141",38.493888,-122.777141,1275,476,1,1,Q3,Yes,1,NA,Offer A,Yes,24.13,Yes,Yes,Fiber Optic,24,No,Yes,NA,No,No,Yes,No,NA,Month-to-Month,Yes,Bank Withdrawal,89.6,6127.6,0,NA,1640.84,7768.4400000000005,NA
9823-EALYC,1,Male,75,No,Yes,Yes,No,0,NA,United States,California,Nice,95464,"39.12334, -122.838198",39.12334,-122.838198,1297,2223,NA,1,Q3,Yes,1,7,Offer E,Yes,13.63,No,Yes,Fiber Optic,27,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.5,676.7,0,NA,95.41000000000001,772.11,NA
5889-JTMUL,1,Male,74,No,Yes,Yes,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,Q3,Yes,1,15,None,Yes,45.25,NA,Yes,Cable,22,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.6,1345.55,0,0,678.75,2024.3,Competitor
2165-VOEGB,1,Male,76,No,NA,No,No,0,1,United States,California,Bayside,NA,"40.825486, -124.049485",NA,-124.049485,NA,NA,3,1,Q3,No,0,16,None,Yes,19.18,Yes,Yes,Fiber Optic,22,No,No,No,NA,Yes,No,No,Yes,NA,Yes,Bank Withdrawal,86.6,1281,0,0,NA,1587.88,Dissatisfaction
2612-PHGOX,1,Female,75,No,Yes,NA,No,NA,1,United States,California,Loleta,95551,"40.665952, -124.240051",40.665952,NA,1340,1447,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Attitude
9227-YBAXE,1,Female,74,No,Yes,No,No,NA,1,United States,California,Rio Dell,95562,"40.485849, -124.163234",NA,-124.163234,1349,3284,1,1,Q3,No,NA,1,None,No,0,No,Yes,Cable,5,No,No,No,No,No,No,No,Yes,Month-to-Month,NA,Bank Withdrawal,25.2,25.2,0,0,NA,25.2,NA
7134-MJPDY,1,Female,73,No,Yes,No,No,0,1,United States,California,Davis,95618,"38.544002, -121.685559",38.544002,-121.685559,1376,648,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Competitor
